Name,Notes,Latitude,Longitude,Method,Google Maps URL
,,,,,
Rainbow Bend State Forest Campground,,44.6697377,-84.4177964,Google canonical URL + verified,https://www.google.com/maps/place/Rainbow+Bend+State+Forest+Campground/data=!4m2!3m1!1s0x882065987cfadbe1:0x40ff890d184b7e97
"44°40'35.8""N 84°32'52.4""W",,44.6766125,-84.5478871,Direct KML URL,"https://www.google.com/maps/search/44.6766125,-84.5478871"
Grayling City Park,,44.6599493,-84.7132973,Google canonical URL + verified,https://www.google.com/maps/place/Grayling+City+Park/data=!4m2!3m1!1s0x882011474b7b6319:0x42876f98b4b00cbf
Dropped pin,,44.6711054,-84.6571121,Direct KML URL,"https://www.google.com/maps/search/44.6711054,-84.6571121"
Thendara public access,,44.669646,-84.6067379,Google canonical URL + verified,https://www.google.com/maps/place/Thendara+public+access/data=!4m2!3m1!1s0x8820130077249f43:0x9495a589e6d38625
Parmalee Canoe Launch,,44.6752289,-84.2930456,Google canonical URL + verified,https://www.google.com/maps/place/Parmalee+Canoe+Launch/data=!4m2!3m1!1s0x882063b71d133e23:0x17e4637303561df
"44°40'00.9""N 84°24'08.1""W",,44.6669239,-84.4022435,Direct KML URL,"https://www.google.com/maps/search/44.6669239,-84.4022435"
Dropped pin,,44.4389144,-83.4364907,Direct KML URL,"https://www.google.com/maps/search/44.4389144,-83.4364907"
Foote Site Boat Launch,,44.4367241,-83.4339345,Google canonical URL + verified,https://www.google.com/maps/place/Foote+Site+Boat+Launch/data=!4m2!3m1!1s0x882731550911fd61:0x665645efe81ec6e0
4001 Bridge Landing,,44.6116612,-83.8368529,Google canonical URL + verified,https://www.google.com/maps/place/4001+Bridge+Landing/data=!4m2!3m1!1s0x8820bb164508fd3d:0x29928ad9e67986fd
Davis Rest Stop,,44.651158,-83.992207,Google canonical URL + verified,https://www.google.com/maps/place/Davis+Rest+Stop/data=!4m2!3m1!1s0x882096e1303f177d:0x272695a6a9132e92
McKinley Landing,,44.642137,-83.9415889,Google canonical URL + verified,https://www.google.com/maps/place/McKinley+Landing/data=!4m2!3m1!1s0x88209625409fbe13:0x3d303181756d7a7c
Fed Trail 4291 Canoe Kayak landing,,44.6637982,-84.0148615,Google canonical URL + verified,https://www.google.com/maps/place/Fed+Trail+4291+Canoe+Kayak+landing/data=!4m2!3m1!1s0x8820972d1c96d42f:0xfba4786aa223617d
Au Sable River - Comins Flats Boat Launch,,44.6538875,-84.0432656,Google canonical URL + verified,https://www.google.com/maps/place/Au+Sable+River+-+Comins+Flats+Boat+Launch/data=!4m2!3m1!1s0x882091a074ebcef7:0x9569a18b2bf729f5
Fed Trail 4366 Canoe Kayak Landing,,44.6582134,-84.0919081,Google canonical URL + verified,https://www.google.com/maps/place/Fed+Trail+4366+Canoe+Kayak+Landing/data=!4m2!3m1!1s0x882091d28a83b007:0xb9ebf72dea906324
Fed Trail 4367 Canoe Landing,,44.6613742,-84.1050814,Google canonical URL + verified,https://www.google.com/maps/place/Fed+Trail+4367+Canoe+Landing/data=!4m2!3m1!1s0x88208fd4ca554ab9:0x5301c85d8f9685e1
Whirlpool Canoe Launch,,44.682142,-84.240852,Google canonical URL + verified,https://www.google.com/maps/place/Whirlpool+Canoe+Launch/data=!4m2!3m1!1s0x882089245f1df277:0xfe8a8ba3986f8744
Dropped pin,,44.6621115,-84.682126,Direct KML URL,"https://www.google.com/maps/search/44.6621115,-84.682126"
"44°39'19.5""N 84°29'13.4""W",,44.6554256,-84.487052,Direct KML URL,"https://www.google.com/maps/search/44.6554256,-84.487052"
Dropped pin,,44.6766704,-84.5621367,Direct KML URL,"https://www.google.com/maps/search/44.6766704,-84.5621367"
Camp 10 Bridge Boat Launch,,44.6686401,-84.1782531,Google canonical URL + verified,https://www.google.com/maps/place/Camp+10+Bridge+Boat+Launch/data=!4m2!3m1!1s0x88208f8c205664d1:0xd6fe0c2d39146f04
Dropped pin,,42.3032984,-71.2107383,Direct KML URL,"https://www.google.com/maps/search/42.3032984,-71.2107383"
Dropped pin,,42.3028109,-71.2107912,Direct KML URL,"https://www.google.com/maps/search/42.3028109,-71.2107912"
Holyoke Rows,,42.1725578,-72.6301956,Google canonical URL + verified,https://www.google.com/maps/place/Holyoke+Rows/data=!4m2!3m1!1s0x89e6de6cf3943835:0xc6abc9225033b2be
"42°30'25.8""N 74°59'11.7""W",,42.507172,-74.986589,Direct KML URL,"https://www.google.com/maps/search/42.507172,-74.986589"
Crumhorn Fishing Access Site,,42.5568279,-74.9423089,Google canonical URL + verified,https://www.google.com/maps/place/Crumhorn+Fishing+Access+Site/data=!4m2!3m1!1s0x89dc0b3784972f5b:0x8e1f324c39b1e23e
Quai de La Tuque,,47.4289138,-72.7951885,Google canonical URL + verified,https://www.google.com/maps/place/Quai+de+La+Tuque/data=!4m2!3m1!1s0x4cc15322e4366a23:0x95af0d2806889385
Decker Boat Ramp,,42.3937426,-73.242512,Google canonical URL + verified,https://www.google.com/maps/place/Decker+Boat+Ramp/data=!4m2!3m1!1s0x89e745634048b633:0x64f001641178c125
"21°05'13.1""N 157°14'53.9""W",,21.086978,-157.248295,Direct KML URL,"https://www.google.com/maps/search/21.086978,-157.248295"
Kailua Beach Parking,,21.3962537,-157.7258983,Google canonical URL + verified,https://www.google.com/maps/place/Kailua+Beach+Parking/data=!4m2!3m1!1s0x7c0014e34cd93a51:0xb302214d3136cf73
Boat Launch,,43.4225495,-75.2078131,Google canonical URL + verified,https://www.google.com/maps/place/Boat+Launch/data=!4m2!3m1!1s0x89d92711fa436f01:0x8418bea82ff1c0bd
Dropped pin,,43.4069248,-75.1638265,Direct KML URL,"https://www.google.com/maps/search/43.4069248,-75.1638265"
Dropped pin,,42.5996498,-74.9516913,Direct KML URL,"https://www.google.com/maps/search/42.5996498,-74.9516913"
Dropped pin,,43.2030853,-75.4783896,Direct KML URL,"https://www.google.com/maps/search/43.2030853,-75.4783896"
Nancy Brown Wildlife Sanctuary,,43.0630814,-76.2689208,Google canonical URL + verified,https://www.google.com/maps/place/Nancy+Brown+Wildlife+Sanctuary/data=!4m2!3m1!1s0x89d9f112babfb565:0x7b5006c56d398921
Erie Canal Park,,43.0524822,-76.3029769,Google canonical URL + verified,https://www.google.com/maps/place/Erie+Canal+Park/data=!4m2!3m1!1s0x89d9fa4b87b34c35:0x78e0b1be70147d93
Dropped pin,,42.3138478,-75.3999672,Direct KML URL,"https://www.google.com/maps/search/42.3138478,-75.3999672"
Dorthie Land boat ramp,,29.8833808,-82.889122,Google canonical URL + verified,https://www.google.com/maps/place/Dorthie+Land+boat+ramp/data=!4m2!3m1!1s0x88e8d5e6f916f1e5:0xcd0b87d8bcebd4c9
